Neighborhood,HouseStyle,sale_month,property_count,average_sale_price,median_sale_price,average_living_area,average_price_per_sqft,price_rank_in_month
NridgHt,2Story,1,1,582933.0,582933.0,2822.0,206.5673281360737,1
NoRidge,2Story,1,2,501500.0,501500.0,3083.0,154.49227262480275,2
Somerst,1Story,1,2,375950.0,375950.0,1903.0,197.08423217653575,3
NridgHt,1Story,1,2,323651.0,323651.0,1711.5,189.12881986050942,4
Crawfor,1Story,1,1,275000.0,275000.0,1646.0,167.07168894289185,5
CollgCr,2Story,1,1,237000.0,237000.0,1829.0,129.5790049207217,6
SawyerW,2Story,1,2,230750.0,230750.0,2033.0,113.54590547170213,7
Timber,1Story,1,1,228000.0,228000.0,1707.0,133.5676625659051,8
Somerst,2Story,1,2,215000.0,215000.0,1803.5,119.87050047561036,9
CollgCr,1Story,1,8,192411.625,191450.0,1251.25,153.89029307893497,10
NWAmes,1Story,1,3,184000.0,181000.0,1579.6666666666667,118.47798296903738,11
NWAmes,SLvl,1,1,178000.0,178000.0,1868.0,95.28907922912205,12
Gilbert,2Story,1,1,172400.0,172400.0,1664.0,103.60576923076923,13
NWAmes,SFoyer,1,1,170000.0,170000.0,1173.0,144.92753623188406,14
NAmes,2Story,1,1,154300.0,154300.0,2274.0,67.85400175901495,15
Gilbert,1Story,1,1,145000.0,145000.0,1056.0,137.31060606060606,16
Sawyer,1Story,1,2,141000.0,141000.0,1379.0,109.47606229292074,17
Sawyer,SFoyer,1,2,139979.5,139979.5,1479.5,93.57098905628317,18
Timber,SLvl,1,1,137500.0,137500.0,1344.0,102.30654761904762,19
Edwards,2Story,1,2,133750.0,133750.0,3494.5,54.08285825341648,20
Mitchel,1Story,1,1,132250.0,132250.0,1040.0,127.16346153846153,21
Edwards,1.5Fin,1,1,131000.0,131000.0,1716.0,76.34032634032634,22
BrkSide,1.5Fin,1,1,127000.0,127000.0,1285.0,98.83268482490273,23
NAmes,1Story,1,3,124816.66666666667,128950.0,1110.6666666666667,112.79578321394781,24
OldTown,2.5Unf,1,1,122000.0,122000.0,1889.0,64.58443620963473,25
NAmes,1.5Fin,1,2,120250.0,120250.0,1652.0,72.16860835796673,26
BrkSide,1.5Unf,1,2,118500.0,118500.0,990.5,120.6003853707036,27
OldTown,1.5Fin,1,1,105000.0,105000.0,1214.0,86.49093904448105,28
IDOTRR,1.5Fin,1,2,102888.0,102888.0,1193.0,86.25554031414791,29
OldTown,1Story,1,1,86000.0,86000.0,691.0,124.45730824891461,30
Edwards,1Story,1,1,84000.0,84000.0,845.0,99.40828402366864,31
MeadowV,2Story,1,1,75000.0,75000.0,1092.0,68.68131868131869,32
SWISU,1Story,1,1,60000.0,60000.0,438.0,136.986301369863,33
IDOTRR,1Story,1,1,55000.0,55000.0,796.0,69.09547738693468,34
BrkSide,1Story,1,2,49650.0,49650.0,567.0,96.33233532934132,35
NridgHt,1Story,2,1,319900.0,319900.0,1752.0,182.59132420091325,1
Timber,2Story,2,2,248056.5,248056.5,2188.0,113.38226806395701,2
NWAmes,1.5Fin,2,1,229000.0,229000.0,2183.0,104.90151168117269,3
Edwards,1Story,2,2,215500.0,215500.0,1323.0,152.7728079199654,4
Somerst,2Story,2,3,208566.66666666666,226700.0,1710.3333333333333,120.49009244066531,5
SawyerW,2Story,2,2,207250.0,207250.0,1829.5,113.20386794260665,6
CollgCr,2Story,2,4,198500.0,200500.0,1749.0,113.9455818091883,7
Gilbert,2Story,2,3,195666.66666666666,184000.0,1817.3333333333333,109.13786476938498,8
Blmngtn,1Story,2,1,194201.0,194201.0,1402.0,138.51711840228245,9
NWAmes,1Story,2,4,193750.0,195000.0,1652.25,118.7125542780255,10
CollgCr,1Story,2,6,191508.33333333334,200250.0,1278.6666666666667,150.35996908437218,11
NWAmes,2Story,2,1,179900.0,179900.0,1552.0,115.91494845360825,12
NAmes,1Story,2,5,169700.0,160000.0,1484.6,116.60770829025373,13
Somerst,1Story,2,1,147000.0,147000.0,1795.0,81.8941504178273,14
Crawfor,2Story,2,2,144500.0,144500.0,1609.5,90.36931538379811,15
Mitchel,1Story,2,2,142250.0,142250.0,1133.5,124.23080088505378,16
Sawyer,1Story,2,4,133500.0,128750.0,1018.75,131.17505484704748,17
NAmes,SLvl,2,1,130000.0,130000.0,1360.0,95.58823529411765,18
NPkVill,1Story,2,1,128000.0,128000.0,958.0,133.61169102296452,19
SawyerW,1Story,2,1,125000.0,125000.0,752.0,166.22340425531914,20
IDOTRR,1Story,2,1,120500.0,120500.0,778.0,154.88431876606683,21
BrDale,2Story,2,1,119500.0,119500.0,1302.0,91.78187403993856,22
BrkSide,1Story,2,1,116500.0,116500.0,858.0,135.78088578088577,23
OldTown,1Story,2,2,106000.0,106000.0,870.0,123.68446230386529,24
NoRidge,1.5Fin,3,1,410000.0,410000.0,3238.0,126.6213712168005,1
NoRidge,1Story,3,2,363450.0,363450.0,2176.5,164.28483735062136,2
NridgHt,2Story,3,3,356000.0,380000.0,2469.6666666666665,143.23391520606688,3
Somerst,1Story,3,1,320000.0,320000.0,1905.0,167.97900262467192,4
NridgHt,1Story,3,6,301012.0,247000.0,1726.3333333333333,166.21040366609188,5
Timber,1Story,3,3,286633.3333333333,315000.0,1759.3333333333333,159.23868788196268,6
ClearCr,1Story,3,2,245500.0,245500.0,1457.5,170.81917278716048,7
StoneBr,1Story,3,1,236500.0,236500.0,1616.0,146.3490099009901,8
Gilbert,2Story,3,4,206233.0,174000.0,1728.75,117.53597945677419,9
NAmes,2Story,3,2,203000.0,203000.0,2414.0,87.58224423391519,10
ClearCr,1.5Fin,3,1,200500.0,200500.0,3086.0,64.97083603370058,11
Crawfor,1Story,3,4,199368.5,209062.0,1664.25,125.62074734678721,12
CollgCr,2Story,3,3,198883.33333333334,197900.0,1734.0,114.71108955454952,13
Crawfor,1.5Fin,3,2,198500.0,198500.0,1952.0,101.51103383941799,14
NWAmes,2Story,3,3,198133.33333333334,196500.0,1880.3333333333333,105.46173207695362,15
ClearCr,2Story,3,1,192000.0,192000.0,2022.0,94.95548961424332,16
NWAmes,1Story,3,2,186250.0,186250.0,1253.5,149.21485833495177,17
Gilbert,SLvl,3,1,184100.0,184100.0,1419.0,129.73925299506695,18
Crawfor,2Story,3,1,177000.0,177000.0,1680.0,105.35714285714286,19
CollgCr,1Story,3,5,174486.4,176432.0,1244.2,140.8512544908389,20
Somerst,2Story,3,6,170600.0,172200.0,1346.6666666666667,127.3921593738699,21
Blmngtn,1Story,3,2,163567.5,163567.5,1257.0,130.15288917243893,22
SWISU,2.5Fin,3,2,159250.0,159250.0,2812.5,56.024587727930154,23
SawyerW,1Story,3,2,148200.0,148200.0,1170.0,126.6237055565586,24
Sawyer,2Story,3,3,146000.0,149500.0,1410.3333333333333,103.96163790960172,25
NAmes,SLvl,3,3,145333.33333333334,143000.0,1253.0,117.83725867179363,26
Mitchel,1Story,3,3,144500.0,153500.0,1264.0,117.61296277117958,27
Mitchel,SLvl,3,1,142500.0,142500.0,1003.0,142.073778664008,28
SWISU,1.5Fin,3,2,142000.0,142000.0,2043.0,69.61444739521168,29
NAmes,1Story,3,9,138594.44444444444,143250.0,1181.3333333333333,119.22852018847695,30
SWISU,2Story,3,2,137950.0,137950.0,1599.0,86.83137038400196,31
Sawyer,1Story,3,3,135933.33333333334,132500.0,1279.6666666666667,110.77982353532668,32
